name,path,xs(pb)
woRHC_zp_lower_limit_total_tau_tau_mu_2500_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_2500_gu1_75_gzp_1_5,0.001765
woRHC_zp_upper_limit_total_tau_tau_mu_2500_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_2500_gu1_75_gzp_2_5,0.0005827
woRHC_zp_lower_limit_total_tau_tau_mu_2500_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_2500_gu1_75_gzp_2_5,0.003697
woRHC_zp_upper_limit_total_tau_tau_mu_2500_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_2500_gu1_75_gzp_3_5,0.0002672
woRHC_zp_lower_limit_total_tau_tau_mu_2500_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_2500_gu1_75_gzp_3_5,0.008621
woRHC_zp_upper_limit_total_tau_tau_mu_3000_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3000_gu1_75_gzp_0_5,0.0006055
woRHC_zp_lower_limit_total_tau_tau_mu_3000_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3000_gu1_75_gzp_0_5,0.0006058
woRHC_zp_upper_limit_total_tau_tau_mu_3000_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3000_gu1_75_gzp_1_5,0.0004688
woRHC_zp_lower_limit_total_tau_tau_mu_3000_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3000_gu1_75_gzp_1_5,0.0006174
woRHC_zp_upper_limit_total_tau_tau_mu_3000_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3000_gu1_75_gzp_2_5,0.0002737
woRHC_zp_lower_limit_total_tau_tau_mu_3000_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3000_gu1_75_gzp_2_5,0.00113
woRHC_zp_upper_limit_total_tau_tau_mu_3000_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3000_gu1_75_gzp_3_5,9.015e-05
woRHC_zp_lower_limit_total_tau_tau_mu_3000_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3000_gu1_75_gzp_3_5,0.003053
woRHC_zp_upper_limit_total_tau_tau_mu_3500_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3500_gu1_75_gzp_0_5,0.0003256
woRHC_zp_lower_limit_total_tau_tau_mu_3500_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3500_gu1_75_gzp_0_5,0.0003202
woRHC_zp_upper_limit_total_tau_tau_mu_3500_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3500_gu1_75_gzp_1_5,0.0002577
woRHC_zp_lower_limit_total_tau_tau_mu_3500_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3500_gu1_75_gzp_1_5,0.000252
woRHC_zp_upper_limit_total_tau_tau_mu_3500_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3500_gu1_75_gzp_2_5,0.0001473
woRHC_zp_lower_limit_total_tau_tau_mu_3500_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3500_gu1_75_gzp_2_5,0.0003809
woRHC_zp_upper_limit_total_tau_tau_mu_3500_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_3500_gu1_75_gzp_3_5,4.393e-05
woRHC_zp_lower_limit_total_tau_tau_mu_3500_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_3500_gu1_75_gzp_3_5,0.001221
