,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500
0.5,0.1938,0.07781,0.03251,0.01415,0.006528,0.003009,0.001414,0.0006809,0.0003225,0.0001604,7.882e-05,3.988e-05,1.991e-05,9.955e-06,5.149e-06,2.59e-06,1.337e-06,6.888e-07,3.58e-07,1.915e-07,9.904e-08
0.5625,0.1928,0.07755,0.0323,0.01465,0.006484,0.002984,0.001406,0.0006686,0.0003281,0.0001611,7.966e-05,3.957e-05,1.991e-05,1.009e-05,5.078e-06,2.606e-06,1.34e-06,6.981e-07,3.644e-07,1.89e-07,1.003e-07
0.625,0.1936,0.07767,0.03217,0.01432,0.006452,0.002975,0.001404,0.0006709,0.0003281,0.0001609,7.865e-05,3.941e-05,2.006e-05,9.964e-06,5.101e-06,2.557e-06,1.332e-06,6.865e-07,3.61e-07,1.893e-07,1.001e-07
0.6875,0.1926,0.07801,0.03245,0.01446,0.006463,0.00297,0.001439,0.0006806,0.0003263,0.0001609,8.034e-05,3.979e-05,1.993e-05,9.916e-06,5.103e-06,2.6e-06,1.332e-06,6.89e-07,3.6e-07,1.912e-07,1.005e-07
0.75,0.191,0.07697,0.03258,0.01418,0.006485,0.002955,0.00139,0.0006776,0.00033,0.0001619,7.972e-05,3.949e-05,1.976e-05,9.889e-06,5.199e-06,2.627e-06,1.33e-06,6.903e-07,3.605e-07,1.899e-07,9.916e-08
0.8125,0.1912,0.07738,0.0331,0.0142,0.006445,0.003005,0.001413,0.0006744,0.0003289,0.0001576,7.911e-05,3.96e-05,1.946e-05,9.972e-06,5.109e-06,2.605e-06,1.336e-06,6.903e-07,3.605e-07,1.891e-07,9.894e-08
0.875,0.1964,0.07682,0.03266,0.01443,0.006392,0.003006,0.001407,0.0006755,0.0003288,0.0001619,7.989e-05,3.988e-05,1.968e-05,9.904e-06,5.071e-06,2.538e-06,1.334e-06,6.934e-07,3.601e-07,1.912e-07,9.855e-08
0.9375,0.1951,0.07837,0.03265,0.01426,0.00644,0.003003,0.001409,0.0006795,0.0003301,0.0001618,7.978e-05,3.993e-05,1.961e-05,1.001e-05,5.059e-06,2.567e-06,1.346e-06,6.935e-07,3.639e-07,1.904e-07,1.001e-07
1.0,0.1956,0.07838,0.03282,0.01433,0.006465,0.002965,0.001403,0.0006761,0.0003277,0.0001614,7.939e-05,3.968e-05,1.976e-05,1.014e-05,5.11e-06,2.623e-06,1.338e-06,6.917e-07,3.628e-07,1.906e-07,9.841e-08
1.0625,0.1937,0.07705,0.03239,0.01424,0.006521,0.002992,0.001402,0.0006741,0.0003306,0.0001599,7.841e-05,3.964e-05,1.952e-05,1.001e-05,5.01e-06,2.602e-06,1.312e-06,6.902e-07,3.611e-07,1.885e-07,1e-07
1.125,0.1938,0.0769,0.03267,0.01441,0.006466,0.003025,0.001407,0.0006759,0.00033,0.0001599,7.934e-05,3.993e-05,1.983e-05,1.004e-05,5.094e-06,2.594e-06,1.329e-06,6.928e-07,3.613e-07,1.903e-07,9.911e-08
