,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500
0.5,0.02055,0.01193,0.007142,0.004442,0.002846,0.00187,0.001249,0.000859,0.0005999,0.0004205,0.0002992,0.0002185,0.0001564,0.0001162,8.639e-05,6.367e-05,4.827e-05,3.678e-05,2.736e-05,2.161e-05,1.62e-05
0.5625,0.02603,0.01482,0.009032,0.005621,0.003622,0.002354,0.001594,0.001088,0.000756,0.0005305,0.0003782,0.0002745,0.0002001,0.0001482,0.0001097,8.187e-05,6.248e-05,4.606e-05,3.468e-05,2.755e-05,2.102e-05
0.625,0.0321,0.01855,0.01116,0.006967,0.004465,0.00294,0.001983,0.001344,0.0009348,0.0006567,0.0004726,0.0003446,0.0002457,0.0001816,0.0001351,0.0001021,7.663e-05,5.883e-05,4.453e-05,3.477e-05,2.609e-05
0.6875,0.03922,0.02262,0.01356,0.008384,0.005366,0.003542,0.00238,0.001641,0.001141,0.0008096,0.0005731,0.0004192,0.0003004,0.0002199,0.0001693,0.0001263,9.467e-05,7.182e-05,5.522e-05,4.093e-05,3.268e-05
0.75,0.04691,0.027,0.01596,0.0101,0.006448,0.004277,0.00284,0.001954,0.001378,0.0009594,0.0006888,0.0004992,0.0003543,0.0002736,0.000198,0.0001506,0.0001142,8.503e-05,6.599e-05,5.137e-05,3.982e-05
0.8125,0.05514,0.03164,0.01885,0.01188,0.007582,0.004972,0.003379,0.00228,0.001611,0.001127,0.0007985,0.0005875,0.0004325,0.0003186,0.0002356,0.00018,0.0001366,0.0001046,7.961e-05,6.009e-05,4.778e-05
0.875,0.06341,0.03639,0.02209,0.01382,0.008768,0.005792,0.003914,0.002655,0.001867,0.001319,0.0009482,0.000684,0.0005026,0.0003748,0.0002821,0.0002104,0.0001585,0.000122,9.231e-05,7.3e-05,5.619e-05
0.9375,0.07366,0.042,0.02543,0.0158,0.01019,0.006713,0.004518,0.003074,0.002152,0.001525,0.001108,0.0007928,0.0005763,0.0004347,0.0003269,0.0002482,0.0001865,0.0001432,0.0001106,8.425e-05,6.595e-05
1.0,0.0831,0.04832,0.0292,0.01807,0.01152,0.007732,0.005124,0.003536,0.002487,0.001725,0.001264,0.0009228,0.0006685,0.0004934,0.0003769,0.0002828,0.0002135,0.0001662,0.0001277,9.734e-05,7.685e-05
1.0625,0.09373,0.05413,0.03265,0.02052,0.01305,0.00861,0.00581,0.004036,0.002836,0.002003,0.001432,0.001044,0.0007654,0.0005686,0.0004281,0.0003224,0.000247,0.0001883,0.0001459,0.0001146,8.859e-05
1.125,0.1056,0.0608,0.03677,0.02318,0.01473,0.009869,0.006609,0.004573,0.003197,0.002273,0.001617,0.001187,0.0008714,0.0006419,0.0004941,0.0003662,0.0002825,0.0002158,0.0001672,0.0001303,0.0001015
1.1875,0.1181,0.06911,0.04093,0.02567,0.01648,0.01099,0.0073,0.005105,0.003574,0.002546,0.001837,0.001331,0.0009815,0.0007271,0.0005487,0.0004128,0.0003216,0.0002463,0.0001898,0.0001483,0.0001154
1.25,0.1315,0.07567,0.04617,0.02868,0.01857,0.01218,0.008221,0.005693,0.003993,0.002845,0.002056,0.001489,0.001091,0.0008225,0.0006106,0.0004755,0.000357,0.0002784,0.0002157,0.0001673,0.0001331
1.3125,0.1439,0.08343,0.05072,0.03148,0.0198,0.01351,0.009039,0.006366,0.004419,0.003156,0.00224,0.001662,0.001232,0.0009091,0.0006852,0.0005224,0.0004018,0.0003063,0.0002432,0.0001918,0.0001514
1.375,0.1607,0.09146,0.05629,0.03485,0.0227,0.01496,0.01013,0.006945,0.004944,0.003498,0.002506,0.001853,0.001337,0.001028,0.0007726,0.0005913,0.0004501,0.0003476,0.0002736,0.0002133,0.0001688
1.4375,0.173,0.1012,0.06074,0.03827,0.02485,0.01645,0.01101,0.007684,0.005402,0.003818,0.002807,0.002016,0.00152,0.001131,0.0007667,0.0006511,0.0004989,0.0003899,0.0003075,0.0002392,0.0001931
1.5,0.1909,0.1115,0.06714,0.0416,0.02706,0.01786,0.01213,0.008347,0.005914,0.004235,0.003084,0.002243,0.001656,0.001259,0.0009551,0.0007296,0.00056,0.0004352,0.0003364,0.0002671,0.0002137
1.5625,0.2079,0.1177,0.07278,0.04571,0.02966,0.01974,0.01328,0.009199,0.006521,0.004634,0.003383,0.002487,0.001839,0.001383,0.001029,0.0008033,0.0006133,0.0004766,0.0003793,0.0002995,0.0002364
1.625,0.2245,0.1301,0.07862,0.0491,0.03181,0.02144,0.01448,0.009967,0.007006,0.005079,0.003681,0.002708,0.002014,0.001512,0.001154,0.0008737,0.0006729,0.0005328,0.0004181,0.000328,0.0002659
1.6875,0.2421,0.1399,0.08581,0.05366,0.03477,0.0231,0.01587,0.01097,0.007691,0.005476,0.00399,0.002939,0.002184,0.001668,0.001252,0.0009696,0.0007402,0.0005895,0.0004631,0.0003636,0.0002946
1.75,0.2621,0.1524,0.09212,0.05792,0.03764,0.02461,0.017,0.01174,0.008318,0.005993,0.004319,0.003199,0.002398,0.001819,0.001401,0.001061,0.0008372,0.0006467,0.0005125,0.0004046,0.0003284
1.8125,0.2847,0.1645,0.09917,0.06252,0.04026,0.02703,0.01854,0.01273,0.009089,0.006459,0.00473,0.003468,0.002613,0.001973,0.001504,0.001154,0.0009033,0.000715,0.000558,0.0004461,0.0003527
