,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500
0.0,0.3856,0.2505,0.1658,0.1166,0.08381,0.06054,0.04598,0.03519,0.02726,0.02163,0.01727,0.01411,0.01152,0.009515,0.007858,0.006645,0.005592,0.00477,0.004057,0.003501,0.00308
0.25,0.3879,0.2488,0.1673,0.1162,0.08294,0.0609,0.0459,0.03528,0.02732,0.02164,0.01725,0.01404,0.01136,0.009348,0.007841,0.00661,0.005568,0.004723,0.00404,0.003507,0.003037
0.5,0.3919,0.2499,0.1678,0.1161,0.0832,0.06067,0.04553,0.03453,0.02713,0.02123,0.01692,0.01368,0.0113,0.009272,0.007688,0.006368,0.005415,0.00465,0.003968,0.003433,0.002965
0.75,0.4024,0.2552,0.1691,0.1162,0.08288,0.0604,0.04513,0.03436,0.02636,0.02094,0.01666,0.01342,0.01097,0.008978,0.007447,0.00624,0.005308,0.004488,0.003854,0.003285,0.002849
1.0,0.4153,0.262,0.1727,0.1179,0.08362,0.06051,0.04476,0.03405,0.02611,0.02051,0.01624,0.01306,0.0106,0.008705,0.007204,0.006035,0.00506,0.004334,0.003672,0.003154,0.002739
1.25,0.4322,0.2684,0.1766,0.1193,0.08316,0.06045,0.04408,0.03358,0.02556,0.01989,0.01568,0.0126,0.01015,0.008296,0.006871,0.005572,0.004801,0.004077,0.003473,0.002974,0.002557
1.5,0.46,0.2792,0.1818,0.1215,0.08421,0.06011,0.04382,0.0328,0.02496,0.01929,0.01514,0.01207,0.009689,0.007916,0.006482,0.005409,0.004497,0.00381,0.003228,0.002752,0.002394
1.75,0.4849,0.2947,0.1881,0.1256,0.08589,0.06066,0.04398,0.03225,0.02435,0.01859,0.01451,0.01149,0.0092,0.007437,0.006075,0.005017,0.00419,0.00352,0.002989,0.002548,0.002186
2.0,0.5188,0.3128,0.1976,0.1293,0.088,0.06102,0.04362,0.03213,0.02382,0.01819,0.014,0.01095,0.008697,0.006959,0.005661,0.00464,0.003844,0.003208,0.002723,0.002302,0.001971
2.25,0.5632,0.3342,0.2084,0.1348,0.09111,0.06202,0.04415,0.03212,0.02348,0.01768,0.01346,0.0105,0.008238,0.006561,0.005255,0.004209,0.003523,0.002926,0.002441,0.002064,0.00175
2.5,0.6079,0.3602,0.2209,0.1411,0.0945,0.06448,0.04545,0.03229,0.02327,0.01732,0.01307,0.01007,0.007817,0.00612,0.004864,0.003937,0.003207,0.002628,0.002191,0.001825,0.001542
2.75,0.6702,0.3876,0.2384,0.153,0.09907,0.06709,0.04627,0.03289,0.02367,0.01731,0.01285,0.00977,0.007449,0.00585,0.004558,0.003619,0.002907,0.002368,0.001935,0.001577,0.00134
3.0,0.7259,0.4251,0.2608,0.1632,0.1062,0.07119,0.04894,0.0341,0.02403,0.01759,0.01296,0.009677,0.007293,0.00561,0.004356,0.00343,0.002689,0.002157,0.001745,0.001425,0.001176
3.25,0.805,0.4629,0.2813,0.1762,0.1144,0.07633,0.05195,0.03598,0.02549,0.01826,0.0133,0.009843,0.007418,0.005579,0.00427,0.003281,0.002574,0.002042,0.001617,0.001298,0.001055
3.5,0.8846,0.5125,0.3091,0.1943,0.1258,0.08323,0.05665,0.03897,0.02704,0.01953,0.01407,0.0103,0.007668,0.005695,0.004312,0.003323,0.002536,0.001995,0.00156,0.001238,0.0009852
